時間戳記,1. 請問您的職業為？,2. 請問您是否有玩過股票的經驗？,3. 請問您是否有興趣玩股票？,4. 請問您是否有意願使用 NewsPortfolio ？,5. 反饋 (e.g. 我希望NewsPortfolio能加入什麼功能)
2020/7/26 下午 11:23:50,金融業,是,是,否,踢除並偵測公司或市場派放假消息的功能
2020/7/26 下午 11:59:03,金融業,是,是,是,無
2020/7/27 上午 7:01:41,製造業,是,是,是,可提供不同本益比/殖利率/報酬率的投資組合
2020/7/27 上午 10:00:42,金融業,是,是,是,除權息資訊
2020/7/27 上午 10:01:56,金融業,是,否,否,無
2020/7/27 上午 10:15:06,學生,否,是,是,尚未使用
2020/7/27 上午 10:15:07,學生,否,是,是,無
2020/7/27 下午 12:46:52,服務業,是,否,否,NA
2020/7/27 下午 4:31:53,資訊業,否,是,是,推播功能
2020/7/28 下午 12:01:16,其他,是,否,是,國際股匯市
2020/7/29 上午 8:52:16,資訊業,是,是,是,"組合式的技術指標。 國泰證的
app做的不錯，可以参考。"
2020/7/29 下午 12:27:42,文教機關,否,否,是,沒玩過股票不知道耶
